,GF,SPF,Pval
MER4B-int,0.388912778,0.461198289,0
LTR105_Mam,0.655961222,0.532499586,0
(TCTCG)n,0.073980052,0.031812271,0
Eulor6E,0.431133918,0,0
RMER20A,2.040150068,2.06699642,0.004475425
UCON7,0.252853031,0.457881897,0
tRNA-Val-GTY,0.724509928,0.861175836,0
MLT1H,2.254257967,2.299197756,0.03141151
MER113,1.786122436,1.857947312,0.124893053
(CCCCAG)n,2.859345055,2.826925704,1.600472765
(TA)n,2.455540915,2.481777895,0.010578235
Kanga2_a,1.625988213,1.612783857,0.114526388
UCON15,0,0,0
BGLII_B2,2.062162797,2.057529177,0.126556038
L1MC,2.458523461,2.511728324,0.147955436
RMER20B,2.180252891,2.181334708,0.08331843
RLTR13D1,1.265289626,1.331832044,0
LTR86B2,0.319254816,0.719497017,0
MLT1A1,2.649286168,2.623571789,1.0266043
(CACTA)n,0.636487896,0.451479405,0
(TTCTC)n,1.523913614,1.622731965,0.247282812
L1MEg,2.505818355,2.544256611,0.03141151
(CATTA)n,0.120573931,0.254789687,0
X5B_LINE,1.110301047,0.987666265,0
tRNA-His-CAY_,0.775454405,0.694429691,0
LTR48B,1.36355826,1.429623103,0
(CAGT)n,0.986643794,1.132963726,0
RLTR44A,1.219135256,1.158362492,0
(CAAGT)n,0,0,0
MLT1E1A-int,0.371331791,0.251881455,0
MER34B-int,2.448955741,2.460822699,0.03141151
tRNA-Lys-AAG,0.739233184,0.814780146,0
L1ME2,2.258462818,2.321590146,0.242513444
(CCGTA)n,0.056360281,0,0
RMER1C,2.325550846,2.391721774,0.242751923
MER129,0.633468456,0.857211842,0
RLTR13F,0.869650721,0.917400468,0
IAPLTR2b,1.83521934,1.799147487,0.275273367
L1M4c,2.275327811,2.350705338,0.509341131
L1ME2z,2.066506955,2.127584202,0.127382604
Charlie5,2.151251617,2.119104058,0.468532651
LTR29,0.331571893,0.497758718,0
MER66A,0,0.089198367,0
IAPEY_LTR,1.275146756,1.367579534,0
(TTATA)n,0.925238401,1.082138831,0
HAL1ME,1.914539592,1.963646186,0.065772888
MLT1F2,2.202729568,2.250258942,0.054273332
(CTTA)n,0.561952775,0.56014584,0
Cheshire_Mars,0.056360281,0.220108088,0
(CGTTG)n,0.404589388,0.423245874,0
IAPEy-int,1.239585458,1.3253925,0
IAP1-MM_I-int,1.716611407,1.729941935,0.02679728
L1M3a,0.545660489,0.662001879,0
MER57D,1.379331422,1.425142788,0
IAP-d-int,1.461798558,1.624137651,0.559209328
(CATG)n,1.298665975,1.289856403,0
MER63B,1.513541012,1.468967308,0.187030105
IAPEY4_I-int,2.235015937,2.238873737,0.078976062
(CGAA)n,0.272173256,0.501880494,0
(CATAC)n,0.267171728,0.152899596,0
MTB_Mm,2.666594189,2.685309916,0.04398668
MER96B,0.093421685,0.467163966,0
MamRep137,1.624635636,1.619615006,0.065772888
MLT2C1,1.481524525,1.52757835,0.021292496
Tigger19a,1.960531932,1.991385583,0.011671197
B1_Mus2,3.927678704,3.957583154,0.023536343
(CTGGGG)n,2.57260776,2.591580999,0.04398668
RMER20C_Mm,1.894616673,1.925239875,0.011671197
Tigger18a,1.510181031,1.575464966,0.089471709
(CAATA)n,0.372385904,0.170261715,0
LTR73,1.069298012,1.25925931,0
HY1,0.702553618,0.729650668,0
HERV16-int,0.568871932,0.610021025,0
(CCTTG)n,0.35383383,0.352953912,0
(CAAAA)n,2.913158891,2.94351628,0.004475425
(TAAAAA)n,1.628651617,1.637349612,0.021292496
(TTGGGG)n,1.218985396,1.197886768,0
(CAGCG)n,0.920123326,0.716670976,0
(TGGG)n,2.155058278,2.103126104,0.750174488
MER73,0.557163342,0.503245771,0
Eulor6A,0,0,0
L1MD,2.500193333,2.559310407,0.242751923
(CGATG)n,0,0.089198367,0
RLTR14-int,2.221093662,2.20231391,0.26218447
PB1D10,3.868934822,3.88988545,0.153044884
LTR58,0.046996563,0.133538908,0
RLTR6_Mm,1.594013502,1.600341131,0.03141151
MER65-int,0.623692222,0.806722503,0
Eulor3,0.051428177,0,0
tRNA-Leu-TTA(m),0,0,0
Lx8b,3.07675172,3.113902594,0.039157883
Eulor8,0.431363764,0.532244644,0
L1_Mur2,3.087581661,3.103242537,0.1144582
L1_Mur1,2.302550464,2.343538567,0.04398668
RLTR12H,1.36775515,1.385320224,0
ERVB4_1-I_MM-int,1.686942542,1.93788884,3.189308772
(TTCC)n,2.295277998,2.288848148,0.126556038
UCON19,0.056360281,0,0
(TTAGGC)n,1.737374413,1.617440706,1.131325101
RLTR30D2_MM,1.77773744,1.825542953,0.03141151
polypurine,1.98687406,2.002908697,0.03141151
(CATGT)n,0.173602459,0.061452479,0
4.5SRNA,2.209043699,2.321784783,0.862457658
tRNA-Leu-CTG,0.184691431,0.154119526,0
(CAGGG)n,0.976939208,0.887504774,0
L1Md_F,2.453966676,2.471734583,0.04398668
RLTR12A,1.911477217,1.953527748,0.03141151
(CAAT)n,1.372912003,1.335939069,0
LTR81A,0.689308859,0.855761372,0
RMER17D2,1.699763418,1.889693791,1.377759511
Lx5c,2.911398098,2.955128531,0.114526388
GSAT_MM,1.833238207,1.94928264,0.268140103
MER74C,0.559222427,0.375846436,0
L1M4b,2.38313288,2.371271101,0.297909608
(TCCG)n,1.45595367,1.422064298,0
MERV1_LTR,1.587005004,1.60062445,0.025537353
ETnERV2-int,1.796266987,1.854561077,0.078976062
RLTR17,2.432112219,2.442373142,0.096319096
L1M7,1.016197354,1.122478015,0
(CACGC)n,0.547598913,0.57054294,0
ORR1G-int,0.415926794,0.365862215,0
(GATTG)n,0,0,0
(CCCCAA)n,0.844654656,1.051075308,0
(TCCGG)n,0.02413368,0,0
MYSERV-int,2.084101128,2.144455889,0.126556038
LTR59,0.049218023,0.177247836,0
RMER15,3.066796445,3.085237046,0.090153126
(TTAAG)n,0,0,0
MamRep605,1.547282308,1.570356106,0.006545557
(TGGA)n,2.166506232,2.175436429,0.078976062
MER68,2.231899012,2.268914794,0.021292496
MLT1E2,2.233844278,2.250132004,0.04398668
RLTR13D3,2.008198537,1.949760707,0.900841232
LTR36,0.117271296,0,0
MLT1J2-int,0,0.130976692,0
RLTR20C2_MM,2.169963979,2.205642769,0.030181617
ORR1D2-int,2.284691716,2.356408327,0.158482489
L1M6,1.175553228,1.090681204,0
RLTR25B,2.645017825,2.680893663,0.038198022
UCON20,0.081244407,0,0
(GCTG)n,1.354437741,1.321681264,0
RLTR13G,2.604884558,2.531310276,1.005172644
MER97a,0.33243846,0.302330929,0
RSINE1,4.125871328,4.142561085,0.127843047
AmnSINE2,1.764464356,1.7911571,0.004475425
(CAGG)n,1.910487189,1.842047289,0.812724606
UCON28b,0.464319186,0.606811147,0
RMER17B2,1.762078087,1.744167763,0.147955436
HY5,0,0,0
LTRIS3,1.169632455,1.173477643,0
L1MB2,2.700785279,2.720286678,0.04398668
L1MB3,2.756439398,2.830972115,0.631969976
L1ME3Cz,1.721527979,1.717287623,0.070219208
tRNA-Pro-CCG,0,0,0
RLTR44C,1.671662025,1.626381433,0.26218447
BLACKJACK,1.533844659,1.600166689,0.03141151
X9_LINE,2.063858549,2.026516922,0.409986
(TCCTG)n,1.118075676,1.046807214,0
MER110-int,0.546542663,0.673205282,0
MMERVK9E_I-int,2.447104849,2.429409876,0.514419901
MLT1B-int,1.329920636,1.341197032,0
(AGGGGG)n,1.145773365,1.139438274,0
LTR40c,1.376993846,1.370105805,0
MLT1A1-int,0.760099227,0.765072201,0
RLTR47,0.927736887,1.049683089,0
X7C_LINE,0.832235111,0.89740714,0
(CACCG)n,0,0,0
(CCGCG)n,3.0018752,2.944114353,3.189308772
(TAATG)n,0.046996563,0.32056168,0
(CCGGA)n,0.069245117,0.160768562,0
ORR1F,3.202631138,3.229785221,0.021292496
LTR45,1.490941205,1.382161183,0
RLTR20A3_MM,1.75088291,1.77633791,0.004565218
(CAGCC)n,1.453209097,1.347837209,0
MLT1E,1.50005996,1.474332838,0.078976062
(CATAG)n,0.20721106,0.406199424,0
L1MCa,2.336719832,2.398630856,0.225261614
(GTTTG)n,1.757537011,1.770012055,0.029734537
L1MCc,1.615784775,1.625353614,0.03141151
LTR44,0.056360281,0,0
HERVL32-int,0,0,0
L1ME3G,1.900250052,1.928590422,0.004475425
Zaphod2,1.668971327,1.637789829,0.147955436
RLTR9A,1.455149521,1.474944335,0
(AGCTG)n,0.508241055,0.522183318,0
RLTR1C,1.541169002,1.651181062,0.324661605
ORR1D1-int,2.380516175,2.408711326,0.004475425
Tigger2b,1.388608614,1.395989998,0
LTR104_Mam,1.382403025,1.436734966,0
tRNA-Tyr-TAC,1.270246156,1.275587741,0
RLTR10B,1.207672829,1.236789099,0
MLT1A0,2.880180465,2.882958047,0.26218447
(GCCTAA)n,0.781242327,0.86332286,0
(CCGAG)n,1.943536912,1.917400468,0.238409669
ID2,2.658391664,2.688464317,0.014699464
ERVB7_2-LTR_MM,2.050296878,2.093764782,0.03141151
RLTR34D_MM,1.655440305,1.651704344,0.069454153
L1MEa,0.973391782,0.994141111,0
UCON6,0.980068332,1.017951069,0
(TTTA)n,2.228165621,2.344537669,0.88272051
UCON28c,0.078663921,0.207365037,0
RLTR16B_MM,1.69802594,1.680172282,0.11534165
ORR1A4,2.909365735,2.942002097,0.021292496
(CAAGG)n,0.314769807,0.476251796,0
LTRIS4,1.090056407,1.06907581,0
MER92D,0.274157849,0.419294722,0
BGLII_A,1.35303648,1.37386787,0
(CCTAA)n,0.401154272,0.155336037,0
tRNA-Arg-AGA,0.133538908,0.395501124,0
MTD,3.662499471,3.71294805,0.444163088
C-rich,3.465652608,3.436724798,2.556901201
MER97b,0.250420002,0.399327532,0
tRNA-Met,0.144796524,0.037426498,0
LTR16E1,1.181230899,1.254789687,0
ERVB7_4-LTR_MM,1.350552582,1.220003426,0
(CCGAA)n,1.264480507,1.577698558,0
MER88,0.914720837,1.007662447,0
B1_Mur2,3.664575765,3.683260169,0.180505349
MamRep1879,0.701321227,0.58591171,0
ORR1B2-int,1.974722177,2.002070982,0.000972945
BC1_Mm,2.764591327,2.801632803,0.047633979
MLTR13,1.242150828,1.301724312,0
RLTR13E,1.923651025,1.934599438,0.03141151
RMER12B,2.93904405,2.823519873,4.057273641
LTR78,1.418845594,1.449971811,0
G-rich,3.323176051,3.330370342,0.35588688
(CTAAG)n,0,0.031812271,0
(GAGAA)n,1.429660014,1.472200431,0
Lx,3.253434589,3.289003554,0.070219208
MLTR18_MM,1.843392972,1.858176138,0.021292496
RLTR31_Mm,1.662272013,1.692741196,0.010578235
MER91A,1.314348833,1.471144965,0
Charlie2a,1.526597709,1.58941338,0.068610388
UCON29,1.631704615,1.546764689,0.468532651
MMERGLN_LTR,1.662339521,1.637289548,0.126076745
MER44B,2.224329538,2.223687995,0.135655221
(CAGAGA)n,2.350248018,2.385484726,0.014699464
L1M2a,1.157715739,1.064308207,0
MLTR18D_MM,1.816051817,1.812378511,0.112279974
B1_Mur1,3.708606622,3.732014793,0.078976062
(CGGAA)n,0,0,0
L1_Mus4,2.83784717,2.878869781,0.03141151
MLT1G3-int,1.138483147,1.272815934,0
(ATG)n,2.549859439,2.507289031,1.475801232
MYSERV16_I-int,2.215312693,2.247899651,0.023536343
ERVL-B4-int,2.117645281,2.109531302,0.156653433
L1MEh,0.754020525,0.807670301,0
LTR16D1,0.643029456,0.596597096,0
UCON25,0.049218023,0.070407322,0
L1_Rod,2.756287185,2.771299325,0.114526388
B1F1,3.382748574,3.405430034,0.064186001
(ACGTG)n,0,0,0
Charlie10b,0.528181853,0.412292509,0
RLTR10C,2.256119587,2.279228779,0.02679728
L1MB8,2.849166609,2.907466182,0.33778447
MER68C,0.221972816,0.624282096,0
MADE2,1.004444212,0.787885351,0
L1Md_A,3.186857089,3.246228663,0.691763574
RLTR30B_MM,1.489617013,1.498338127,0.03141151
Eulor5B,0,0.057666104,0
MamRep564,0.772740708,0.831869774,0
MER54B,1.272835795,1.236587641,0
RLTR34B_MM,1.873669293,1.900170422,0.004475425
(CATTT)n,0.255617047,0.177824972,0
RLTR15,2.489862093,2.51687633,0.008439497
L1MEg1,0.839926745,0.783903579,0
L1ME5,0.758262884,0.836197481,0
(CTCGG)n,1.666705136,1.511936809,1.27166146
ORR1C2-int,2.161705893,2.234446414,0.297909608
Ricksha_0,0.029383778,0,0
MamGypLTR1b,1.21503296,1.251248762,0
UCON8,0.869147871,0.762378429,0
LTR86A2,0.302269068,0.538824989,0
RLTR10D,1.162351004,1.343093345,0
YREP_Mm,2.529732759,2.57050558,0.043185696
(TATG)n,2.336482606,2.423059005,0.514810605
RLTR21,2.483022541,2.493655983,0.105957088
B3,4.262584341,4.29709379,0.126076745
ID,2.628238543,2.665051636,0.03141151
(ATTG)n,1.460081298,1.414271228,0
RLTR20D,1.627833846,1.651568739,0.021292496
MER67C,1.16123962,1.180871052,0
