Sample Name,Infection,MHV,gHV68,CCR3
Adipose Tissue,MHV-Y,0.0000403,0,0.000447814
Adipose Tissue,MHV-Y,0.000104913,0,0.000522987
Adipose Tissue,MHV-Y,0.0000778,0,0.000302289
Adipose Tissue,MHV-Y,0.000156615,0,0.0000961
Adipose Tissue,MHV-Y,0.000016,0,0
Adipose Tissue,Uninfected,0.00000327,0,0.000274028
Adipose Tissue,Uninfected,0,0,0.000847915
Adipose Tissue,Uninfected,0,0,0.000697997
Adipose Tissue,Uninfected,0,0,0.000484994
Adipose Tissue,Uninfected,0.00015757,0,0.000139489
Adipose Tissue,yHV68 + MHV-Y,0,0,0
Adipose Tissue,yHV68 + MHV-Y,0,0,0.0000746
Adipose Tissue,yHV68 + MHV-Y,0.00000791,0,0.000248259
Adipose Tissue,yHV68 + MHV-Y,0.00000824,0.000124181,0.0000261
Adipose Tissue,yHV68 + MHV-Y,0.0000359,0,0.000514824
Adipose Tissue,yHV68,0,0.0000636,0.000197435
Adipose Tissue,yHV68,0.00000262,0,0.001196017
Adipose Tissue,yHV68,0,0,0.000451742
Adipose Tissue,yHV68,0.000117863,0,0.000583227
Adipose Tissue,yHV68,0,0.0000633,0.000223119
Cecum,MHV-Y,0.00000134,0,0
Cecum,MHV-Y,0.087951804,0,0.000389177
Cecum,MHV-Y,0.0000245,0,0.000479023
Cecum,MHV-Y,0,0,0
Cecum,MHV-Y,0.000000834,0,0
Cecum,Uninfected,0.00000307,0,0.000180044
Cecum,Uninfected,0,0,0.0000504
Cecum,Uninfected,0,0,0.0000946
Cecum,Uninfected,0,0,0
Cecum,Uninfected,0.00000075,0,0.000140277
Cecum,yHV68 + MHV-Y,0,0,0
Cecum,yHV68 + MHV-Y,0,0,0
Cecum,yHV68 + MHV-Y,0,0,0
Cecum,yHV68 + MHV-Y,0.0000182,0.0000519,0.000164566
Cecum,yHV68 + MHV-Y,0,0,0
Cecum,yHV68,0.0000055,0,0.0000779
Cecum,yHV68,0,0,0.000120568
Cecum,yHV68,0,0.00000511,0.000114077
Cecum,yHV68,0,0,0.000151663
Cecum,yHV68,0,0.00000525,0.00011507
Distal Colon,MHV-Y,0.00000277,0,0.0000197
Distal Colon,MHV-Y,0.00000621,0,0.0000244
Distal Colon,MHV-Y,0.0000105,0,0.0000435
Distal Colon,MHV-Y,0.00000573,0,0.0000217
Distal Colon,MHV-Y,0,0,0.0000217
Distal Colon,Uninfected,0,0,0.0000757
Distal Colon,Uninfected,0,0,0.0000237
Distal Colon,Uninfected,0,0.0000103,0.000103122
Distal Colon,Uninfected,0,0,0.0000554
Distal Colon,Uninfected,0,0,0.000016
Distal Colon,yHV68 + MHV-Y,0,0,0
Distal Colon,yHV68 + MHV-Y,0,0,0.00000639
Distal Colon,yHV68 + MHV-Y,0.0000055,0,0.0000485
Distal Colon,yHV68 + MHV-Y,0.00000622,0.0000145,0.0000596
Distal Colon,yHV68 + MHV-Y,0.00000569,0.000510085,0.000143163
Distal Colon,yHV68,0,0.0000894,0.000056
Distal Colon,yHV68,0,0.0000286,0.0000564
Distal Colon,yHV68,0.0000158,0.000016,0.0000362
Distal Colon,yHV68,0.0000156,0.000172753,0.0000606
Distal Colon,yHV68,0,0.0000487,0.0000205
Liver,MHV-Y,0,0,0.000181243
Liver,MHV-Y,0,0,0.00014966
Liver,MHV-Y,0,0,0.0000955
Liver,MHV-Y,0.00000694,0,0.0000451
Liver,MHV-Y,0,0,0
Liver,Uninfected,0,0,0.000106286
Liver,Uninfected,0,0,0.000483114
Liver,Uninfected,0,0,0.000279131
Liver,Uninfected,0,0,0.000391018
Liver,Uninfected,0,0,0.000329394
Liver,yHV68 + MHV-Y,0,0,0
Liver,yHV68 + MHV-Y,0,0,0
Liver,yHV68 + MHV-Y,0.00000103,0,0.0000471
Liver,yHV68 + MHV-Y,0,0,0.00011268
Liver,yHV68 + MHV-Y,0.0000131,0.0000305,0.000321895
Liver,yHV68,0,0,0.000142444
Liver,yHV68,0,0,0.000123689
Liver,yHV68,0,0,0.000131161
Liver,yHV68,0,0,0.000304617
Liver,yHV68,0,0.00000157,0.000125583
mLN,MHV-Y,0.000885546,0,0.0000496
mLN,MHV-Y,0.024527551,0,0.000065
mLN,MHV-Y,0.002390515,0,0.0000201
mLN,MHV-Y,0.045620316,0,0
mLN,MHV-Y,0.000535642,0,0
mLN,Uninfected,0,0.0000111,0.0000691
mLN,Uninfected,0.0000545,0,0.000246874
mLN,Uninfected,0,0,0.0000901
mLN,Uninfected,0,0,0.0000768
mLN,Uninfected,0.003822653,0,0.0000176
mLN,yHV68 + MHV-Y,0,0,0
mLN,yHV68 + MHV-Y,0,0,0
mLN,yHV68 + MHV-Y,0.013626771,0.000054,0.0000899
mLN,yHV68 + MHV-Y,0.077704103,0.000228564,0.000172978
mLN,yHV68 + MHV-Y,0.016928643,0.000792342,0.000133556
mLN,yHV68,0,0.0000292,0.0000557
mLN,yHV68,0,0.0000714,0.0000812
mLN,yHV68,0,0.000194232,0.00010298
mLN,yHV68,0,0.00000318,0.0000657
mLN,yHV68,0,0.0000804,0.0000933
Omentum,MHV-Y,0.000396535,0,0.000135314
Omentum,MHV-Y,0.0000744,0,0.000111758
Omentum,MHV-Y,0.000126131,0,0
Omentum,MHV-Y,0,0,0
Omentum,MHV-Y,0,0,0
Omentum,Uninfected,0.000267438,0,0
Omentum,Uninfected,0.000659226,0,0.0000732
Omentum,Uninfected,0.00026522,0,0
Omentum,Uninfected,0.0000754,0,0.000108819
Omentum,Uninfected,0.039435324,0,0.0000952
Omentum,yHV68 + MHV-Y,0,0,0
Omentum,yHV68 + MHV-Y,0,0,0
Omentum,yHV68 + MHV-Y,0.0000352,0,0
Omentum,yHV68 + MHV-Y,0.0000668,0,0.000083
Omentum,yHV68 + MHV-Y,0.000029,0,0
Omentum,yHV68,0.000161085,0,0
Omentum,yHV68,0.0000665,0,0
Omentum,yHV68,0.0000882,0,0.0000307
Omentum,yHV68,0.000156562,0.00027771,0
Omentum,yHV68,0.00025089,0.000534962,0
PP,MHV-Y,0.002729335,0,0.000102712
PP,MHV-Y,0.001881313,0,0.000139198
PP,MHV-Y,0.001525842,0.00000267,0.000115963
PP,MHV-Y,0.003299812,0,0.0000285
PP,MHV-Y,0.001163582,0,0.0000223
PP,Uninfected,0.00000687,0,0.0000466
PP,Uninfected,0,0.00000633,0.000130838
PP,Uninfected,0,0,0.000096
PP,Uninfected,0.000000422,0,0.000121091
PP,Uninfected,0,0,0.0000607
PP,yHV68 + MHV-Y,0,0,0
PP,yHV68 + MHV-Y,0.000172969,0,0
PP,yHV68 + MHV-Y,0.000663421,0,0.0000669
PP,yHV68 + MHV-Y,0.005627361,0.000470133,0.000187786
PP,yHV68 + MHV-Y,0.001517195,0.001583833,0.000181035
PP,yHV68,0,0.0000633,0.000177202
PP,yHV68,0.0000168,0.00014305,0.000274909
PP,yHV68,0,0.0000581,0.000156356
PP,yHV68,0,0.00000643,0.000134543
PP,yHV68,0,0.0000396,0.0000896
Proximal Colon,MHV-Y,0.000756226,0,0.0000177
Proximal Colon,MHV-Y,0.000503027,0,0.0000653
Proximal Colon,MHV-Y,0.00000339,0,0.0000196
Proximal Colon,MHV-Y,0.00000917,0,0
Proximal Colon,MHV-Y,0,0,0
Proximal Colon,Uninfected,0.0000012,0,0.0000337
Proximal Colon,Uninfected,0.0000276,0,0.0000698
Proximal Colon,Uninfected,0,0,0.0000786
Proximal Colon,Uninfected,0.0000114,0,0.000126749
Proximal Colon,Uninfected,0,0,0.000104748
Proximal Colon,yHV68 + MHV-Y,0,0,0
Proximal Colon,yHV68 + MHV-Y,0,0,0
Proximal Colon,yHV68 + MHV-Y,0.00000897,0,0.0000114
Proximal Colon,yHV68 + MHV-Y,0.00000821,0,0.00000645
Proximal Colon,yHV68 + MHV-Y,0.0000405,0.000494927,0.0000827
Proximal Colon,yHV68,0.0000321,0,0.000109444
