Well Positions,LogCopies
A1,2.491225922
A2,2.600796325
A3,2.774083639
A4,2.475828538
A5,2.407657587
A6,2.872566807
A7,1.899893736
A8,0
A9,2.892971523
A10,0
A11,0
A12,0
B1,3.57801254
B2,4.133367727
B3,5.096631503
B4,4.882228608
B5,0
B6,0
B7,4.104385161
B8,0
B9,5.662024536
B10,0
B11,0
B12,0
C1,4.367189766
C2,5.399556784
C3,6.570252202
C4,5.632324314
C5,0
C6,0
C7,0
C8,0
C9,6.718518807
C10,0
C11,0
C12,0
D1,5.141912736
D2,6.496577519
D3,6.827080458
D4,0
D5,0
D6,0
D7,0
D8,0
D9,0
D10,0
D11,0
D12,0.43313893
E1,0.573260867
E2,0.299086961
E3,0.191533158
E4,0
E5,0
E6,0
E7,-1.018852764
E8,0
E9,0.339018289
E10,0
E11,0
E12,0
F1,0.106297418
F2,-0.195731997
F3,-1.188812493
F4,-0.126944837
F5,0
F6,-0.05812938
F7,0
F8,0
F9,-0.385734605
F10,0
F11,0
F12,0
G1,1.299848539
G2,0
G3,-0.042936396
G4,0
G5,0
G6,-0.864899702
G7,0
G8,0
G9,0
G10,0
G11,0
G12,0
H1,2.112530488
H2,5.580088385
H3,1.627161162
H4,3.900475269
H5,2.085211715
H6,2.10452309
H7,1.900406992
H8,1.832707755
H9,1.364186475
H10,0
H11,0
H12,0
