chr1:3083315-3094439	['test:47=u0+m47']
chr1:3137528-3238828	['test:60=u9+m51']
chr1:3137711-3141062	['test:70=u2+m68']
chr1:3556744-4021092	['test:84=u30+m54']
chr1:3750386-3823943	['test:90=u20+m70']
chr1:3826145-3848100	['test:68=u2+m66']
chr1:3845593-4110877	['test:56=u6+m50']
chr1:3897431-3922736	['test:57=u2+m55']
chr1:3922766-4080542	['test:47=u3+m44']
chr1:4082339-5037785	['test:75=u6+m69']
chr1:4179403-4190635	['test:62=u4+m58']
chr1:4192397-4485519	['test:79=u16+m63']
chr1:4192397-4606672	['test:70=u12+m58']
chr1:4192483-4213842	['test:52=u1+m51']
chr1:4213678-4220441	['test:60=u1+m59']
chr1:4257071-4257713	['test:63=u0+m63']
chr1:4257271-4258044	['test:58=u1+m57']
chr1:4258418-4258447	['test:68=u3+m65']
chr1:4341303-4341340	['test:61=u0+m61']
chr1:4437477-4442630	['test:49=u0+m49']
chr1:4439913-4444885	['test:41=u1+m40']
chr1:4559677-4560524	['test:65=u7+m58']
chr1:4559742-4559953	['test:67=u3+m64']
chr1:4559742-4560377	['test:67=u3+m64']
chr1:4559742-4560801	['test:69=u1+m68']
chr1:4559889-4560100	['test:67=u4+m63']
chr1:4559984-4560195	['test:42=u7+m35']
chr1:4559984-4560619	['test:81=u17+m64']
chr1:4560166-4560377	['test:64=u4+m60']
chr1:4560166-4560801	['test:70=u2+m68']
chr1:4560196-4560407	['test:103=u34+m69']
chr1:4560313-4560524	['test:49=u1+m48']
